frame_id,source_path,pred_volume_ml,mesh_volume_ml,reference_volume_ml,latent_path,mesh_path,inference_time_ms
00013,/home/tianqi/corepp2/data/20260416/pointcloud/00013.ply,,27.233672,31.805158,/home/tianqi/corepp2/unseen_output/latents/00013.pth,/home/tianqi/corepp2/unseen_output/meshes/00013.ply,30.254
00014,/home/tianqi/corepp2/data/20260416/pointcloud/00014.ply,,23.59769,22.170243,/home/tianqi/corepp2/unseen_output/latents/00014.pth,/home/tianqi/corepp2/unseen_output/meshes/00014.ply,32.264
00015,/home/tianqi/corepp2/data/20260416/pointcloud/00015.ply,,26.206202,29.456351,/home/tianqi/corepp2/unseen_output/latents/00015.pth,/home/tianqi/corepp2/unseen_output/meshes/00015.ply,43.047
00016,/home/tianqi/corepp2/data/20260416/pointcloud/00016.ply,,23.643654,22.309965,/home/tianqi/corepp2/unseen_output/latents/00016.pth,/home/tianqi/corepp2/unseen_output/meshes/00016.ply,27.851
00017,/home/tianqi/corepp2/data/20260416/pointcloud/00017.ply,,23.447145,22.577952,/home/tianqi/corepp2/unseen_output/latents/00017.pth,/home/tianqi/corepp2/unseen_output/meshes/00017.ply,41.267
00018,/home/tianqi/corepp2/data/20260416/pointcloud/00018.ply,,23.050347,20.403167,/home/tianqi/corepp2/unseen_output/latents/00018.pth,/home/tianqi/corepp2/unseen_output/meshes/00018.ply,33.799
00019,/home/tianqi/corepp2/data/20260416/pointcloud/00019.ply,,24.591656,26.222809,/home/tianqi/corepp2/unseen_output/latents/00019.pth,/home/tianqi/corepp2/unseen_output/meshes/00019.ply,37.991
00020,/home/tianqi/corepp2/data/20260416/pointcloud/00020.ply,,22.950831,20.467278,/home/tianqi/corepp2/unseen_output/latents/00020.pth,/home/tianqi/corepp2/unseen_output/meshes/00020.ply,29.436
00021,/home/tianqi/corepp2/data/20260416/pointcloud/00021.ply,,23.612735,22.696971,/home/tianqi/corepp2/unseen_output/latents/00021.pth,/home/tianqi/corepp2/unseen_output/meshes/00021.ply,90.021
00022,/home/tianqi/corepp2/data/20260416/pointcloud/00022.ply,,24.282549,23.625829,/home/tianqi/corepp2/unseen_output/latents/00022.pth,/home/tianqi/corepp2/unseen_output/meshes/00022.ply,28.136
00023,/home/tianqi/corepp2/data/20260416/pointcloud/00023.ply,,23.140375,20.741507,/home/tianqi/corepp2/unseen_output/latents/00023.pth,/home/tianqi/corepp2/unseen_output/meshes/00023.ply,29.801
00024,/home/tianqi/corepp2/data/20260416/pointcloud/00024.ply,,23.683526,23.038295,/home/tianqi/corepp2/unseen_output/latents/00024.pth,/home/tianqi/corepp2/unseen_output/meshes/00024.ply,32.727
00025,/home/tianqi/corepp2/data/20260416/pointcloud/00025.ply,,23.712093,22.696149,/home/tianqi/corepp2/unseen_output/latents/00025.pth,/home/tianqi/corepp2/unseen_output/meshes/00025.ply,30.124
00026,/home/tianqi/corepp2/data/20260416/pointcloud/00026.ply,,25.338574,27.181878,/home/tianqi/corepp2/unseen_output/latents/00026.pth,/home/tianqi/corepp2/unseen_output/meshes/00026.ply,30.46
00027,/home/tianqi/corepp2/data/20260416/pointcloud/00027.ply,,23.903234,23.465251,/home/tianqi/corepp2/unseen_output/latents/00027.pth,/home/tianqi/corepp2/unseen_output/meshes/00027.ply,30.488
00028,/home/tianqi/corepp2/data/20260416/pointcloud/00028.ply,,24.581221,25.473609,/home/tianqi/corepp2/unseen_output/latents/00028.pth,/home/tianqi/corepp2/unseen_output/meshes/00028.ply,30.814
00029,/home/tianqi/corepp2/data/20260416/pointcloud/00029.ply,,23.737699,22.281037,/home/tianqi/corepp2/unseen_output/latents/00029.pth,/home/tianqi/corepp2/unseen_output/meshes/00029.ply,29.95
